country.b,country.a,exp.comp,imp.comp,statea,stateb,year,dispnum3,endyear,hiact,hostlev,outcome,fatality,victor,loser,is.war,pb.exps,pb.imps,delta.exp.comp,delta.imp.comp
Lebanon,Syria,0.9679935921103671,0.4432505451138124,652,660,1963,3166,1963,16,Use of force,6,1,0,0,1,0.9787840883071571,0.3684169235393689,0.010790496196790067,-0.07483362157444351
Lebanon,Syria,0.9679935921103671,0.4432505451138124,652,660,1963,3167,1963,12,Display of force,5,0,0,0,1,0.9787840883071571,0.3684169235393689,0.010790496196790067,-0.07483362157444351
Syria,Lebanon,0.9679935921103671,0.4432505451138124,660,652,1963,3166,1963,0,No militarized action,6,1,0,0,1,0.9787840883071571,0.3684169235393689,0.010790496196790067,-0.07483362157444351
Syria,Lebanon,0.9679935921103671,0.4432505451138124,660,652,1963,3167,1963,0,No militarized action,5,0,0,0,1,0.9787840883071571,0.3684169235393689,0.010790496196790067,-0.07483362157444351
Indonesia,Japan,0.0031742492000373713,0.04318320805477619,740,850,1963,2894,1963,0,No militarized action,5,0,0,0,1,0.0032452295562556306,0.04902573841235025,7.098035621825932e-5,0.005842530357574059
Indonesia,Malaysia,0.5585305589177008,0.3830216685052491,820,850,1963,1070,1965,17,Use of force,5,4,0,0,1,0.19301120226958865,0.3476915493947868,-0.3655193566481121,-0.0353301191104623
Indonesia,UK,2.1178854176505981e-4,0.023695496495365894,200,850,1963,1070,1965,17,Use of force,5,4,0,0,1,0.002429067225229633,0.04096234492727085,0.002217278683464573,0.017266848431904954
Indonesia,Australia,0.003462768305185106,0.08940545729617445,900,850,1963,1070,1965,16,Use of force,5,4,0,0,1,0.0017591793963320558,0.16778846713752052,-0.0017035889088530503,0.07838300984134607
China,Taiwan,0.039587023473961105,0.013235924292742627,713,710,1963,2892,1966,17,Use of force,5,NA,0,0,1,0.08128428882350525,0.0898348527569083,0.04169726534954414,0.07659892846416567
Fm USSR,USA,0.10459782780912755,0.05488720323277075,2,365,1963,2218,1963,0,No militarized action,5,0,0,0,1,0.09347649433011564,0.037299476358502094,-0.01112133347901191,-0.017587726874268655
Fm USSR,USA,0.10459782780912755,0.05488720323277075,2,365,1963,2899,1963,0,No militarized action,5,0,0,0,1,0.09347649433011564,0.037299476358502094,-0.01112133347901191,-0.017587726874268655
Fm USSR,Iran,0.12510498000772172,0.11181306145421253,630,365,1963,2897,1963,0,No militarized action,5,NA,0,0,1,0.16270421810921706,0.1007918292357318,0.03759923810149535,-0.01102123221848074
Dominican Republic,Haiti,0.49960392114267915,0.53411612729046,41,42,1963,1002,1963,16,Use of force,5,0,0,0,1,0.4505264002895193,0.5778186883144623,-0.04907752085315986,0.04370256102400227
Cambodia,Thailand,0.32491302431694824,0.46215907286032226,800,811,1963,2623,1963,8,Display of force,5,0,0,0,1,0.3823767818280309,0.41636035372040475,0.05746375751108268,-0.04579871913991751
Cambodia,Viet Nam,0.5007509038569343,0.2629165340554272,817,811,1963,2729,1963,0,No militarized action,5,0,0,0,1,0.4299129355328022,0.1568919073416107,-0.07083796832413214,-0.10602462671381649
Haiti,Canada,0.02337522129773961,0.19144499131385817,20,41,1963,1002,1963,7,Display of force,5,0,0,0,1,0.018823329552581963,0.22391618595099255,-0.004551891745157646,0.03247119463713438
Haiti,USA,-5.631230285137455e-5,0.020063573614141014,2,41,1963,1002,1963,7,Display of force,5,0,0,0,1,-1.8237169233815308e-4,0.024270875757481977,-1.2605938948677853e-4,0.004207302143340964
Haiti,UK,0.007225956053095011,0.04959465545438074,200,41,1963,1002,1963,7,Display of force,5,0,0,0,1,0.007018858917422351,0.06256005688084311,-2.0709713567266044e-4,0.012965401426462367
Haiti,Dominican Republic,0.49960392114267915,0.53411612729046,42,41,1963,1002,1963,8,Display of force,5,0,0,0,1,0.4505264002895193,0.5778186883144623,-0.04907752085315986,0.04370256102400227
USA,Cambodia,0.013338948180258183,0.04000096633171552,811,2,1964,1213,1965,17,Use of force,5,NA,0,0,1,0.020851025955218375,0.04733961752230763,0.007512077774960192,0.007338651190592106
USA,Egypt,0.13219730711572067,0.022945778184244568,651,2,1964,2906,1964,16,Use of force,5,0,0,0,1,NA,NA,NA,NA
USA,Fm USSR,0.09347649433011564,0.037299476358502094,365,2,1964,2220,1964,16,Use of force,7,1,0,0,1,0.0900109171047885,0.04956488221326985,-0.0034655772253271433,0.012265405854767757
USA,Fm USSR,0.09347649433011564,0.037299476358502094,365,2,1964,2901,1964,16,Use of force,5,0,0,0,1,0.0900109171047885,0.04956488221326985,-0.0034655772253271433,0.012265405854767757
USA,Korea D P Rp,0.03564856591009747,0.006297069717215265,731,2,1964,1379,1971,17,Use of force,5,4,0,0,1,0.014260369800780997,0.056464494864016085,-0.02138819610931647,0.05016742514680082
Argentina,Chile,0.004977456294520937,0.20648956067475535,155,160,1964,2080,1964,17,Use of force,5,0,0,0,1,0.004627744322148931,0.26938266275333955,-3.497119723720058e-4,0.0628931020785842
Chile,Argentina,0.004977456294520937,0.20648956067475535,160,155,1964,2080,1964,17,Use of force,5,0,0,0,1,0.004627744322148931,0.26938266275333955,-3.497119723720058e-4,0.0628931020785842
Israel,Egypt,0.010277331123629755,0.13227240627198417,651,666,1964,3378,1965,7,Display of force,5,0,0,0,1,NA,NA,NA,NA
India,Pakistan,0.16783063616533722,0.7604653809470979,770,750,1964,1312,1966,20,War,5,6,0,0,1,0.2519083393564718,0.7780776661439628,0.08407770319113456,0.017612285196864863
India,China,0.03940753239828699,0.030699419616724677,710,750,1964,623,1966,14,Use of force,5,3,0,0,1,0.047226357905402694,0.18986316867346723,0.007818825507115705,0.15916374905674255
Korea Rep.,Korea D P Rp,0.23883982408705784,0.06264365221203673,731,732,1964,1379,1971,17,Use of force,5,4,0,0,1,0.15349270709788645,0.2176105030442728,-0.08534711698917138,0.15496685083223605
Malaysia,Indonesia,0.28831159337646334,0.5089126912173844,850,820,1964,2904,1964,16,Use of force,5,0,0,0,1,0.18907610072757872,0.2789325288647765,-0.09923549264888462,-0.22998016235260788
Pakistan,India,0.16783063616533722,0.7604653809470979,750,770,1964,1312,1966,20,War,5,6,0,0,1,0.2519083393564718,0.7780776661439628,0.08407770319113456,0.017612285196864863
