dispnum3,statea,stateb,year,hiact,hostlev,outcome,fatality
1334,552,571,1975,16,4,5,0
1334,571,552,1975,0,1,5,0
1335,571,552,1969,13,4,5,0
1335,552,571,1969,0,1,5,0
1337,620,483,1976,14,4,5,0
1337,483,620,1976,0,1,5,0
1339,471,481,1976,16,4,5,0
1339,481,471,1976,0,1,5,0
1340,411,481,1972,16,4,6,0
1340,481,411,1972,7,3,6,0
1342,235,553,1973,17,4,5,0
1342,553,235,1973,17,4,5,0
1343,750,770,1967,17,4,5,1
1343,770,750,1967,17,4,5,1
1351,438,452,1966,17,4,3,1
1351,438,437,1966,17,4,3,1
1351,452,438,1966,0,1,3,1
1351,437,438,1966,17,4,3,1
1352,438,437,1967,15,4,6,0
1352,437,438,1967,15,4,6,0
1353,816,2,1962,16,4,6,NA
1353,365,800,1962,7,3,NA,NA
1353,710,812,1962,16,4,NA,NA
1353,816,920,1962,16,4,6,NA
1353,365,200,1962,7,3,NA,NA
1353,710,900,1962,16,4,NA,NA
1353,816,2,1962,16,4,6,NA
1353,365,800,1962,7,3,NA,NA
1353,710,812,1962,16,4,NA,NA
1353,816,920,1962,16,4,6,NA
1353,365,200,1962,7,3,NA,NA
1353,710,900,1962,16,4,NA,NA
1353,816,2,1962,16,4,6,NA
1353,365,800,1962,7,3,NA,NA
1353,710,812,1962,16,4,NA,NA
1353,816,920,1962,16,4,6,NA
1353,365,200,1962,7,3,NA,NA
1353,710,900,1962,16,4,NA,NA
1353,2,816,1962,7,3,6,NA
1353,800,365,1962,17,4,6,NA
1353,812,710,1962,16,4,6,NA
1353,920,816,1962,7,3,NA,NA
1353,200,365,1962,7,3,NA,NA
1353,900,710,1962,7,3,NA,NA
1353,2,816,1962,7,3,6,NA
1353,800,365,1962,17,4,6,NA
1353,812,710,1962,16,4,6,NA
1353,920,816,1962,7,3,NA,NA
1353,200,365,1962,7,3,NA,NA
1353,900,710,1962,7,3,NA,NA
1353,2,816,1962,7,3,6,NA
1353,800,365,1962,17,4,6,NA
1353,812,710,1962,16,4,6,NA
1353,920,816,1962,7,3,NA,NA
1353,200,365,1962,7,3,NA,NA
1353,900,710,1962,7,3,NA,NA
1360,816,811,1969,21,5,9,NA
1360,811,816,1969,18,4,9,NA
1361,517,516,1964,16,4,5,0
1361,516,517,1964,0,1,5,0
1362,516,517,1973,17,4,4,NA
1362,516,510,1973,17,4,4,NA
1362,517,516,1973,0,1,4,NA
1362,510,516,1973,17,4,4,NA
1364,235,510,1972,17,4,5,NA
1364,510,235,1972,17,4,5,NA
1366,501,500,1965,15,4,7,0
1366,500,501,1965,0,1,7,0
1367,500,501,1973,16,4,5,0
1367,501,500,1973,0,1,5,0
1368,500,501,1976,17,4,5,NA
1368,501,500,1976,17,4,5,NA
1376,800,812,1975,17,4,6,NA
1376,812,800,1975,17,4,6,NA
1377,666,500,1976,17,4,8,2
1377,500,666,1976,17,4,8,2
1378,520,530,1967,17,4,5,2
1378,520,501,1967,17,4,5,2
1378,530,520,1967,7,3,5,2
1378,501,520,1967,17,4,5,2
1379,2,731,1964,17,4,NA,NA
1379,732,731,1964,17,4,5,4
1379,365,731,1969,0,1,NA,NA
1379,731,2,1964,17,4,5,4
1379,731,732,1964,17,4,5,4
1379,731,365,1964,17,4,5,4
1380,500,510,1971,17,4,5,3
1380,510,500,1971,17,4,5,3
1381,620,510,1972,7,3,NA,NA
1381,500,510,1972,16,4,5,2
1381,510,620,1972,16,4,5,2
1381,510,500,1972,16,4,5,2
1382,500,625,1974,17,4,5,0
1382,500,551,1974,17,4,5,0
1382,500,510,1974,17,4,5,0
1382,625,500,1974,0,1,NA,NA
1382,551,500,1974,7,3,5,0
1382,510,500,1974,17,4,5,0
1384,433,420,1974,16,4,8,0
1384,420,433,1974,0,1,8,0
1385,235,433,1969,16,4,5,0
1385,235,438,1969,16,4,5,0
1385,433,235,1969,12,3,5,0
1385,438,235,1970,12,3,NA,NA
1386,235,438,1973,12,3,5,0
1386,438,235,1973,7,3,5,0
1389,235,433,1972,17,4,5,1
1389,433,235,1972,17,4,5,1
1390,235,551,1972,16,4,7,0
1390,551,235,1972,0,1,7,0
1391,235,551,1971,15,4,7,0
1391,551,235,1971,1,2,7,0
1392,235,551,1966,17,4,5,0
1392,551,235,1966,17,4,5,0
1396,560,551,1974,17,4,5,0
1396,552,551,1974,16,4,5,0
1396,551,560,1974,17,4,5,0
1396,551,552,1974,17,4,5,0
1397,560,551,1973,17,4,5,2
1397,552,551,1973,16,4,5,2
1397,551,560,1973,17,4,5,2
1397,551,552,1973,17,4,5,2
1399,552,551,1969,7,3,5,0
1399,551,552,1969,7,3,5,0
1400,560,551,1968,1,2,5,0
1400,551,560,1968,0,1,5,0
1401,551,552,1966,1,2,5,0
1401,552,551,1966,16,4,5,0
1403,625,500,1968,16,4,5,0
1403,500,625,1968,0,1,5,0
1404,625,500,1971,12,3,5,0
1404,500,625,1971,1,2,5,0
1406,230,411,1969,14,4,5,0
1406,411,230,1969,0,1,5,0
1407,434,436,1963,13,4,3,0
1407,436,434,1963,0,1,3,0
1408,452,438,1966,15,4,7,0
1408,438,452,1966,15,4,7,0
1410,435,432,1962,17,4,5,NA
1410,432,435,1962,17,4,5,NA
1411,432,439,1974,17,4,5,1
1411,439,432,1974,17,4,5,1
1418,452,461,1962,11,3,5,0
1418,461,452,1962,0,1,5,0
1419,452,461,1965,17,4,5,1
1419,461,452,1965,17,4,5,1
1422,530,625,1967,14,4,5,0
1422,625,530,1967,0,1,5,0
1425,520,530,1963,17,4,5,3
1425,530,520,1963,17,4,5,3
1426,520,501,1963,17,4,5,NA
1426,501,520,1963,17,4,5,NA
1427,520,530,1974,17,4,5,1
1427,530,520,1974,17,4,5,1
1428,520,530,1975,17,4,5,1
1428,530,520,1975,17,4,5,1
1430,541,552,1975,17,4,5,NA
1430,551,552,1976,18,4,NA,NA
1430,552,541,1975,17,4,5,NA
1430,552,551,1975,17,4,5,NA
1435,816,811,1975,20,5,1,6
1435,811,816,1975,20,5,1,6
1441,551,540,1976,7,3,NA,NA
1441,560,40,1975,17,4,5,NA
1441,490,540,1975,17,4,NA,NA
1441,551,40,1976,7,3,NA,NA
1441,560,540,1975,17,4,5,NA
1441,490,40,1975,17,4,NA,NA
1441,540,551,1975,17,4,5,NA
1441,40,560,1975,17,4,5,NA
1441,540,490,1975,17,4,5,NA
1441,40,551,1975,17,4,5,NA
1441,540,560,1975,17,4,5,NA
