country.b,country.a,exp.comp,imp.comp,statea,stateb,year,dispnum3,endyear,hiact,hostlev,outcome,fatality,victor,loser,is.war,pb.exps,pb.imps,delta.exp.comp,delta.imp.comp
Philippines,Malaysia,0.24970524187003607,0.5533688412098058,820,840,1980,3117,1980,7,Display of force,4,0,1,0,1,0.3081425144887684,0.4558002802110333,0.05843727261873233,-0.09756856099877248
Congo,Dem.Rp.Congo,0.06088659070360587,0.41322078374224586,490,484,1980,3121,1980,7,Display of force,4,0,1,0,1,0.25908138645342843,0.24912322281260596,0.19819479574982257,-0.1640975609296399
Iraq,Israel,-1.765657580497001e-4,0.10642461995982795,666,645,1981,3101,1981,12,Display of force,1,NA,1,0,1,-2.3537221805680007e-4,0.1540245312503803,-5.880646000709996e-5,0.04759991129055234
Argentina,UK,0.014259797992577325,0.2601097488695351,200,160,1982,3077,1982,7,Display of force,4,0,1,0,1,0.018975547346447425,0.18145080004431283,0.0047157493538701,-0.07865894882522226
Argentina,UK,0.014259797992577325,0.2601097488695351,200,160,1982,3630,1982,20,War,2,6,1,0,1,0.018975547346447425,0.18145080004431283,0.0047157493538701,-0.07865894882522226
Israel,Lebanon,0.02404144870048978,0.13328419994247723,660,666,1982,3444,1985,20,War,2,6,1,0,1,0.06708456781967415,0.1333349068240758,0.04304311911918436,5.0706881598583387e-5
Egypt,Israel,0.003985778774884759,0.19302945372200764,666,651,1983,3384,1983,0,No militarized action,3,0,1,0,1,0.0023873545960820357,0.06185817981192851,-0.0015984241788027237,-0.13117127391007913
Cuba,USA,0.008529981776609295,0.002971381693124812,2,40,1983,3058,1983,14,Use of force,1,3,1,0,1,0.001520541114212486,0.02311196064769008,-0.007009440662396809,0.020140578954565266
Cuba,Barbados,-1.0704477964620144e-4,0.014435528717723425,53,40,1983,3058,1983,17,Use of force,1,3,1,0,1,0.0034078651372031095,0.005336296360906077,0.003514909916849311,-0.009099232356817349
Cuba,Jamaica,0.0017760638593646329,0.0763290277380755,51,40,1983,3058,1983,17,Use of force,1,3,1,0,1,0.0030721210455326494,0.033917667991517825,0.0012960571861680165,-0.04241135974655767
Libya,USA,-2.2441214346747407e-4,0.017305242378747466,2,620,1983,3072,1983,7,Display of force,3,0,1,0,1,3.8425983467323317e-4,0.3036105832585734,6.086719781407072e-4,0.2863053408798259
Libya,Sudan,5.237254954243206e-4,0.17166881425375524,625,620,1983,3072,1983,7,Display of force,3,0,1,0,1,5.918523162435978e-4,0.15362379223071315,6.81268208192773e-5,-0.01804502202304209
Libya,Egypt,0.7057396302785625,0.1856140313219501,651,620,1983,3072,1983,7,Display of force,3,0,1,0,1,0.7988864732872001,0.16243001150882094,0.09314684300863763,-0.023184019813129148
Libya,Sudan,5.918523162435978e-4,0.15362379223071315,625,620,1984,3051,1984,0,No militarized action,3,0,1,0,1,-3.522694719081035e-5,0.11905076926366807,-6.270792634344082e-4,-0.03457302296704508
