country.b,country.a,exp.comp,imp.comp,statea,stateb,year,dispnum3,endyear,hiact,hostlev,outcome,fatality,victor,loser,is.war,pb.exps,pb.imps,delta.exp.comp,delta.imp.comp
Syria,Iraq,0.1263762226864203,0.13450900504905544,645,652,1990,3957,1991,20,War,2,6,0,1,1,0.002093503765544106,0.07585785511473483,-0.12428271892087618,-0.05865114993432061
Syria,Jordan,0.015130346210104532,0.08236501909537729,663,652,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.013309507433427587,0.40314480313493656,-0.001820838776676945,0.32077978403955926
United Arab Emirates,Iraq,0.3470082367296915,0.22101857301336914,645,696,1990,3957,1991,20,War,2,6,0,1,1,0.00021014811058613309,0.027553101148495636,-0.3467980886191054,-0.1934654718648735
United Arab Emirates,Jordan,0.0010388440167391666,0.09950347994175139,663,696,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.0010765728521864519,0.23449514802857985,3.772883544728525e-5,0.13499166808682844
Turkey,Iraq,0.1864223166764674,0.08435355598634987,645,640,1990,3957,1991,20,War,2,6,0,1,1,-1.1804178773177948e-4,0.0025811047333972655,-0.18654035846419917,-0.08177245125295261
Turkey,Jordan,0.009135909563347712,0.08424489183648604,663,640,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.014603789159903542,0.08832210880123757,0.005467879596555831,0.004077216964751537
Bangladesh,Iraq,0.0011439678944130175,0.17104452300124579,645,771,1990,3957,1991,20,War,2,6,0,1,1,-9.703503111411463e-5,0.027786063484796217,-0.001241002925527132,-0.14325845951644955
Bangladesh,Jordan,0.01659954083215839,0.12673027059093722,663,771,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.027313741784713477,0.1829498032907372,0.010714200952555087,0.056219532699799984
Pakistan,Iraq,3.8284792517029065e-4,0.10717393835679444,645,770,1990,3957,1991,20,War,2,6,0,1,1,-1.5931074586649418e-4,0.0035533986353976236,-5.421586710367848e-4,-0.10362053972139681
Pakistan,Jordan,0.005796492291456176,0.1203384748171385,663,770,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.004984627861724951,0.24625578157002231,-8.118644297312252e-4,0.12591730675288382
Belgium-Lux,Iraq,4.2203031983306487e-4,0.08637713149944068,645,211,1990,3957,1991,20,War,2,6,0,1,1,3.6673584024637854e-5,0.008139851399872068,-3.85356735808427e-4,-0.07823728009956861
Belgium-Lux,Jordan,0.047224340457944707,0.048570039231559885,663,211,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.004426638157952121,0.10650659713579134,-0.042797702299992586,0.05793655790423146
"France,Monac",Iraq,4.877854458474582e-4,0.12308965469703795,645,220,1990,3957,1991,20,War,2,6,0,1,1,4.854824442988627e-4,0.0077723417181028345,-2.303001548595502e-6,-0.11531731297893512
"France,Monac",Jordan,0.026233611882244715,0.07658282020674681,663,220,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.005256475414641332,0.1596720694570976,-0.020977136467603383,0.0830892492503508
Germany,Iraq,-2.3282689092458874e-4,NA,645,255,1990,3957,1991,20,War,2,6,0,1,1,-2.14112893945518e-4,0.006432194812953163,1.8713996979070733e-5,NA
Germany,Jordan,-3.739126206286097e-4,NA,663,255,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.005013080140824997,0.10275249718854419,0.005386992761453607,NA
German Federal Republic,Iraq,-5.797099616632161e-5,0.09956637373278325,645,255,1990,3957,1991,20,War,2,6,0,1,1,-2.14112893945518e-4,0.006432194812953163,-1.561418977791964e-4,-0.09313417891983009
German Federal Republic,Jordan,0.007259278770260359,0.31276161334545594,663,255,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.005013080140824997,0.10275249718854419,-0.002246198629435362,-0.21000911615691176
Greece,Iraq,0.01050455312261465,0.12654637073634623,645,350,1990,3957,1991,20,War,2,6,0,1,1,2.1436421830644257e-4,0.012258193715107248,-0.010290188904308207,-0.11428817702123897
Greece,Jordan,0.007720206920744259,0.08073496436898961,663,350,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.006958935039438965,0.1905884369401084,-7.612718813052935e-4,0.1098534725711188
Italy,Iraq,0.006836285495486163,0.09573257951019114,645,325,1990,3957,1991,20,War,2,6,0,1,1,2.928582144818462e-5,0.011507667636739615,-0.006806999674037978,-0.08422491187345152
Italy,Jordan,0.025281504015715554,0.0685349616032755,663,325,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.008870134324604735,0.12371600412784245,-0.016411369691110816,0.055181042524566945
Netherlands,Iraq,0.002763092110614783,0.13866364758927266,645,210,1990,3957,1991,20,War,2,6,0,1,1,2.0728336047576296e-4,0.009841722323041969,-0.00255580875013902,-0.12882192526623068
Netherlands,Jordan,0.018148466221366413,0.06477512801276625,663,210,1990,3957,1991,0,No militarized action,2,6,0,1,1,0.006280615094806783,0.14757125737191693,-0.01186785112655963,0.08279612935915068
